     1→// MOT Hashcat Playground — 20 progressive challenges
     2→// All hashes are well-known public test vectors for educational use only.
     3→
     4→export type ChallengeDifficulty = "Beginner" | "Intermediate" | "Advanced";
     5→
     6→export interface Challenge {
     7→  id: number;
   163→    expectedOption: "-a 0 — Straight (dictionary / wordlist)",
   164→    hint1: "Wordlist attacks use a pre-built dictionary file — Hashcat iterates each word and hashes it.",
   165→    hint2: "Look at the -a value: 0 is straight, 1 is combinator, 3 is mask, 6/7 are hybrids.",
   166→    hint3: "The straight dictionary attack is -a 0. Example: hashcat -m 0 -a 0 hashes.txt rockyou.txt",
   167→    explanation:
   168→      "The straight attack mode (-a 0) is the canonical wordlist attack. Hashcat reads each word from the supplied wordlist, computes the hash, and compares it to the target list. It is the highest-yield, lowest-effort attack for unsalted hashes. The other modes serve different purposes: combinator (-a 1) merges two wordlists (e.g., 'pass' + 'word' = 'password'); mask (-a 3) generates candidates from a pattern; hybrids (-a 6 / -a 7) combine wordlists with masks for cases like 'password123'.",
   169→    recommendedCommands: [
   170→      "hashcat -m 0 -a 0 hashes.txt rockyou.txt",
   171→      "hashcat -m 0 -a 0 hashes.txt rockyou.txt --status --status-timer=10",
   172→    ],
   173→    bestPractices: [
   174→      "Always start with a straight dictionary attack before escalating to masks or rules.",
   175→      "Use --status and --status-timer for long-running attacks to monitor progress.",
   176→      "Save the potfile (hashcat.potfile) so cracked results persist across sessions.",
   177→    ],
   178→    defenseRecommendations: [
   179→      "Assume any leaked password database will be subjected to a rockyou.txt attack within minutes.",
   180→      "Use breach-corpus training to enforce that user passwords do not appear in known wordlists.",
   181→      "Adopt slow KDFs (Argon2id, bcrypt cost ≥ 12) to make dictionary attacks expensive.",
   182→    ],
   183→    xp: 100,
   184→  },
   185→  {
   186→    id: 5,
   187→    module: "MD5",
   188→    title: "Identify the Correct Hashcat Mode",
   189→    difficulty: "Beginner",
   190→    scenario:
   191→      "A reverse-engineering analyst has extracted a 32-character hexadecimal hash from a binary. The hash function is suspected to be MD5, but the analyst must confirm the correct Hashcat mode number to launch an attack.",
   192→    objective:
   193→      "Select the correct Hashcat -m mode for an MD5 hash from the options below.",
   194→    educationalContext:
   195→      "Hashcat supports over 300 hash types via the -m flag. Each mode corresponds to a specific algorithm and format. MD5 is -m 0, SHA1 is -m 100, SHA2-256 is -m 1400, bcrypt is -m 3200, NTLM is -m 1000, and so on. Choosing the wrong mode is the #1 cause of failed cracking attempts. Hashcat will accept a hash in the wrong mode but will never recover it. Tools like hashid or hash-identifier can help detect the type when it is unknown, but verifying length (32 hex chars = MD5; 40 hex chars = SHA1; 64 hex chars = SHA2-256) is the fastest manual check.",
   196→    questionType: "identify",
   197→    options: [
   198→      "-m 0 (MD5)",
   199→      "-m 100 (SHA1)",
   200→      "-m 1400 (SHA2-256)",
   201→      "-m 1000 (NTLM)",
   202→    ],
   203→    expectedOption: "-m 0 (MD5)",
   204→    hint1: "Count the hex characters: 32 hex chars = 128 bits = MD5.",
   205→    hint2: "MD5 is the very first hash mode in Hashcat — its mode number is 0.",
   206→    hint3: "The answer is -m 0. SHA1 is 100, SHA256 is 1400, NTLM is 1000.",
   207→    explanation:
   208→      "MD5 produces a 128-bit (16-byte) digest, which is 32 hexadecimal characters. In Hashcat, this corresponds to mode -m 0. The mode number is the algorithm identifier — getting it right is non-negotiable. A 32-char hex hash is almost always MD5 (or one of its derivatives like md5($pass.$salt), which has a different mode). When in doubt, run `hashid` against the hash for confirmation before launching an attack.",
   209→    recommendedCommands: [
   210→      "hashcat -m 0 -a 0 hash.txt rockyou.txt",
   211→      "hashid 'HASH_VALUE'  # identifies the type",
   212→    ],
   213→    bestPractices: [
   214→      "Always verify hash length before assigning a mode: 32=MD5, 40=SHA1, 64=SHA256.",
   215→      "Use hashid or hash-identifier to confirm type when source is unknown.",
   216→      "Document the mode in your runbook so the same hash family is cracked consistently.",
   217→    ],
   218→    defenseRecommendations: [
   219→      "Use unique salts stored separately from the hash to complicate mode identification.",
   220→      "Adopt algorithms (Argon2id) that are not trivially confused with MD5 by length alone.",
   221→      "Monitor authentication logs for cracking-pattern activity (high failed login rates).",
   222→    ],
   223→    xp: 100,
   224→  },
   225→
   226→  // ============= MODULE 2 — SHA1 =============
   227→  {
   228→    id: 6,
   229→    module: "SHA1",
   230→    title: "SHA1 Hash Cracking",
   231→    difficulty: "Intermediate",
   232→    scenario:
   233→      "A legacy web application stores passwords as unsalted SHA1 digests. The SHA1 algorithm is still in production at this organization despite known collision weaknesses. You have obtained one hash for recovery.",
   234→    objective:
   235→      "Recover the plaintext password from the provided SHA1 hash using Hashcat.",
   236→    educationalContext:
   237→      "SHA1 (Secure Hash Algorithm 1) was designed by the NSA and published in 1995. It produces a 160-bit digest rendered as 40 hexadecimal characters. While SHA1 is more expensive to compute than MD5 (slower by roughly 3x), it remains trivially crackable on modern hardware — a single RTX 4090 achieves over 30 billion SHA1 guesses per second. SHA1's collision weakness (demonstrated by Google's SHAttered attack in 2017) broke its collision resistance but did not significantly weaken its preimage resistance. For password cracking, however, the lack of salt is the real vulnerability — not the algorithm itself.",
   238→    hash: "5baa61e4c9b93f3f0682250b6cf8331b7ee68fd8",
   239→    hashType: "SHA1",
   240→    hashcatMode: 100,
   241→    hint1: "SHA1 hashes are 40 hex characters. The mode is -m 100.",
   242→    hint2: "This hash corresponds to the word 'password' — the most common password in rockyou.txt.",
   243→    hint3: "hashcat -m 100 -a 0 hash.txt rockyou.txt — answer is 'password'.",
   244→    expectedAnswer: "password",
   245→    questionType: "crack",
   246→    explanation:
   247→      "The hash 5baa61e4c9b93f3f0682250b6cf8331b7ee68fd8 is the SHA1 of 'password'. SHA1 corresponds to Hashcat mode -m 100. The same wordlist attack that recovered the MD5 hash in Challenge 1 works here — only the mode changes. This demonstrates a critical principle: the choice of algorithm matters less than the absence of salt. An unsalted SHA1 hash is no more secure than an unsalted MD5 hash from a cracking perspective.",
   248→    recommendedCommands: [
   249→      "hashcat -m 100 -a 0 hash.txt rockyou.txt",
   250→      "hashcat -m 100 -a 0 hash.txt rockyou.txt -r best64.rule",
   251→    ],
   252→    bestPractices: [
   253→      "Always specify -m 100 for SHA1 — the default mode in Hashcat is 0 (MD5).",
   254→      "Verify the hash is 40 hex chars before running the attack.",
   255→      "Apply rules (best64.rule) after the base wordlist to expand coverage cheaply.",
   256→    ],
   257→    defenseRecommendations: [
   258→      "Migrate from SHA1 to SHA2-256 or SHA3-256 with a unique salt and pepper.",
   259→      "Use a slow KDF (PBKDF2 with ≥ 600,000 iterations, or Argon2id) for password storage.",
   260→      "Monitor for SHA1 usage in source code with security linters (e.g., semgrep rules).",
   261→    ],
   262→    xp: 150,
   263→  },
   264→  {
   265→    id: 7,
   266→    module: "SHA1",
   267→    title: "SHA1 Wordlist Attack",
   268→    difficulty: "Intermediate",
   269→    scenario:
   270→      "You are auditing a list of SHA1 hashes from a corporate Active Directory dump. Your task is to choose the best initial attack strategy for the highest yield in the shortest time.",
   271→    objective:
   272→      "Select the recommended first-pass attack for a list of unsalted SHA1 hashes.",
   273→    educationalContext:
   274→      "When cracking a list of hashes (rather than a single hash), the cost of computing each candidate is amortized across all targets. A wordlist attack with rules applied is the highest-yield first pass because (a) the wordlist covers the most common plaintexts, and (b) rules mutate each word to cover common variations (capitalization, appending digits, leetspeak). For SHA1 specifically, a single GPU can test 30+ billion candidates per second — meaning rockyou.txt (14 million words) with best64.rule (76 rules) produces over 1 billion candidates and runs in well under a minute.",
   275→    questionType: "identify",
   276→    options: [
   277→      "Wordlist + rules attack (hashcat -m 100 -a 0 hashes.txt rockyou.txt -r best64.rule)",
   278→      "Pure brute force mask attack (?a?a?a?a?a?a?a?a)",
   279→      "Combinator attack (rockyou.txt + rockyou.txt)",
   280→      "Hybrid mask + wordlist (hashcat -m 100 -a 7 ?d?d?d rockyou.txt)",
   281→    ],
   282→    expectedOption:
   283→      "Wordlist + rules attack (hashcat -m 100 -a 0 hashes.txt rockyou.txt -r best64.rule)",
   284→    hint1: "For a list of hashes, you want maximum yield per second — rules multiply a wordlist cheaply.",
   285→    hint2: "best64.rule multiplies each wordlist entry ~76x. rockyou.txt + best64.rule is the gold-standard first pass.",
   286→    hint3: "Answer: hashcat -m 100 -a 0 hashes.txt rockyou.txt -r best64.rule",
   287→    explanation:
   288→      "The wordlist + rules combination is the highest-yield first pass for any unsalted hash list. The wordlist provides the base candidates (covering the most common plaintexts), and the rules engine mutates each entry cheaply — best64.rule alone expands 14M rockyou entries to ~1B candidates. This typically recovers 70–85% of real-world passwords. The other options are either too slow (pure brute force on 8 chars with full charset is 7.2 quadrillion combinations) or too narrow (combinator is excellent but slower; hybrid is great for 'password123' patterns but not as universal).",
   289→    recommendedCommands: [
   290→      "hashcat -m 100 -a 0 hashes.txt rockyou.txt -r best64.rule",
   291→      "hashcat -m 100 -a 0 hashes.txt rockyou.txt -r dive.rule  # larger rule set",
   292→    ],
   293→    bestPractices: [
   294→      "Run best64.rule first (fast, broad coverage), then escalate to dive.rule or generated.rule.",
   295→      "Sort your hash list by frequency to maximize early recoveries.",
   296→      "Pipe cracked results to a separate file for forensic chain-of-custody.",
   297→    ],
   298→    defenseRecommendations: [
   299→      "Use unique per-user salts so the same password produces different hashes.",
   300→      "Adopt memory-hard KDFs (Argon2id) to slow GPU-based attacks by 100–1000x.",
   301→      "Implement breached-password blocking at signup/change time.",
   302→    ],
   303→    xp: 150,
   304→  },
   305→  {
   306→    id: 8,
   307→    module: "SHA1",
   308→    title: "SHA1 Mode Identification",
   309→    difficulty: "Intermediate",
   310→    scenario:
   311→      "A forensic investigator has extracted a 40-character hexadecimal string from a memory dump and suspects it is a password hash. They need to confirm the Hashcat mode before launching an attack.",
   312→    objective:
   313→      "Identify the correct Hashcat -m mode for a 40-character SHA1 hash.",
   314→    educationalContext:
   315→      "A 40-character hex string is 160 bits — the output size of SHA1. Other 160-bit algorithms exist (RIPEMD-160, HAVAL-160) but SHA1 is by far the most common in practice. In Hashcat, raw SHA1 is mode -m 100. Variants have different mode numbers: sha1($pass.$salt) is -m 110, sha1($salt.$pass) is -m 120, HMAC-SHA1 is -m 150. Always inspect the context of how the hash was stored to distinguish raw SHA1 from its salted variants — the hash format string in Hashcat's example hashes page documents the expected format for each mode.",
   316→    questionType: "identify",
   317→    options: [
   318→      "-m 100 (raw SHA1)",
   319→      "-m 0 (MD5)",
   320→      "-m 1400 (SHA2-256)",
   321→      "-m 1700 (SHA2-512)",
   322→    ],
   323→    expectedOption: "-m 100 (raw SHA1)",
   324→    hint1: "40 hex characters = 160 bits = SHA1.",
   325→    hint2: "Raw SHA1 is mode 100 in Hashcat.",
   326→    hint3: "Answer: -m 100. Variants like sha1($pass.$salt) are 110, 120.",
   327→    explanation:
   328→      "A 40-character hex string is a 160-bit digest, which is the output length of SHA1. In Hashcat, raw SHA1 is mode -m 100. Distinguishing raw SHA1 from its salted variants (sha1($pass.$salt) = -m 110, sha1($salt.$pass) = -m 120) requires examining the storage format. If the hash is stored alone with no separator, it is raw SHA1. If you see a colon-separated format like 'hash:salt', it is one of the salted variants. The hash mode is the single most important parameter — choosing incorrectly means Hashcat will run forever and recover nothing.",
   329→    recommendedCommands: [
   330→      "hashcat -m 100 -a 0 hash.txt rockyou.txt",
   331→      "hashcat --help | grep -i sha1  # list all SHA1-related modes",
   332→    ],
   333→    bestPractices: [
   334→      "Use `hashid` or `hash-identifier` to confirm the algorithm before assigning a mode.",
   335→      "Inspect the storage format for separator characters (colons typically indicate salts).",
   336→      "Cross-reference against Hashcat's example hashes page (hashcat.net/wiki/doku.php?id=example_hashes).",
   337→    ],
   338→    defenseRecommendations: [
   339→      "Use HMAC-SHA1 (mode -m 150) with a server-side secret instead of raw SHA1.",
   340→      "Prefer SHA2-256 or SHA3-256 over SHA1 for any new implementation.",
   341→      "Audit legacy codebases for direct sha1() calls and migrate them to a KDF.",
   342→    ],
   343→    xp: 150,
   344→  },
   345→  {
   346→    id: 9,
   347→    module: "SHA1",
   348→    title: "Rule-Based Attack",
   349→    difficulty: "Intermediate",
   350→    scenario:
   351→      "A password cracker has exhausted the rockyou.txt wordlist against a list of SHA1 hashes. They recovered 65% of plaintexts but 35% remain uncracked. They need a strategy to expand coverage cheaply without running an expensive brute-force attack.",
   352→    objective:
   353→      "Identify the correct Hashcat rule-based attack strategy to expand wordlist coverage.",
   354→    educationalContext:
   355→      "Rules are pattern-based mutations applied to each wordlist entry. Hashcat's rule engine supports operations like capitalization ($c), appending characters ($1, $2), leetspeak (so 'password' becomes 'P@ssword'), reversing ($r), and dozens more. The best64.rule file ships with Hashcat and contains 76 high-yield rules. dive.rule is a larger set (~99,000 rules) that produces dramatic coverage gains at the cost of runtime. Generated.rule creates rule combinations algorithmically. Rules are extremely efficient because they expand a wordlist by 100x–10000x while consuming almost no additional disk I/O — all mutations happen in GPU memory.",
   356→    questionType: "strategy",
   357→    options: [
   358→      "Apply best64.rule to rockyou.txt (hashcat -m 100 -a 0 hashes.txt rockyou.txt -r best64.rule)",
   359→      "Switch to a pure brute-force mask attack (?a?a?a?a?a?a?a?a)",
   360→      "Run a combinator attack (rockyou.txt + rockyou.txt)",
   361→      "Increase the wordlist size by downloading a larger leak corpus",
   362→    ],
   363→    expectedOption:
   364→      "Apply best64.rule to rockyou.txt (hashcat -m 100 -a 0 hashes.txt rockyou.txt -r best64.rule)",
   365→    hint1: "Rules mutate each wordlist entry cheaply — they multiply coverage without re-reading the wordlist.",
   366→    hint2: "best64.rule is the standard next step after a bare wordlist pass fails.",
   367→    hint3: "Answer: hashcat -m 100 -a 0 hashes.txt rockyou.txt -r best64.rule",
   368→    explanation:
   369→      "Rules are the cheapest way to expand wordlist coverage. The best64.rule file applies 76 high-yield mutations to each wordlist entry — capitalizing, appending digits, replacing letters with symbols, etc. Running rockyou.txt + best64.rule produces ~1.07 billion candidates (14M words × 76 rules) and runs in seconds on modern hardware. This typically recovers an additional 15–25% of passwords beyond the bare wordlist. If best64.rule is insufficient, escalate to dive.rule (~99,000 rules, ~1.4 trillion candidates) or to a generated rule set.",
   370→    recommendedCommands: [
   371→      "hashcat -m 100 -a 0 hashes.txt rockyou.txt -r best64.rule",
   372→      "hashcat -m 100 -a 0 hashes.txt rockyou.txt -r dive.rule  # larger",
   373→    ],
   374→    bestPractices: [
   375→      "Always run best64.rule after a bare wordlist pass — it is essentially free coverage.",
   376→      "Custom rules targeting the organization (e.g., company name + year) often yield surprising results.",
   377→      "Save the potfile so re-running with bigger rules doesn't re-crack already-recovered hashes.",
   378→    ],
   379→    defenseRecommendations: [
   380→      "Train employees to avoid predictable mutations (Summer2024!, Welcome123, etc.).",
   381→      "Implement password filters that reject common rule-based patterns.",
   382→      "Use breached-password APIs to block passwords that rules would generate from common bases.",
   383→    ],
   384→    xp: 180,
   385→  },
   386→  {
   387→    id: 10,
   388→    module: "SHA1",
   389→    title: "Mask Attack",
   390→    difficulty: "Intermediate",
   391→    scenario:
   392→      "A red team has identified that an organization enforces a password policy requiring exactly 8 characters: one uppercase, three lowercase, and four digits (e.g., 'Abcd1234'). They need to construct a Hashcat mask that targets this exact pattern.",
   393→    objective:
   394→      "Build the correct Hashcat mask for an 8-character password with the structure ULLLDDDD (uppercase, lowercase, lowercase, lowercase, digit, digit, digit, digit).",
   395→    educationalContext:
   396→      "Hashcat's mask syntax defines character classes per position: ?l = lowercase (a-z, 26 chars), ?u = uppercase (A-Z, 26 chars), ?d = digits (0-9, 10 chars), ?s = special symbols (~33 chars), ?a = all printable (95 chars), ?b = binary (256 chars). A mask of ?u?l?l?l?d?d?d?d describes the structure 'ULLLDDDD' and limits the keyspace to 26 × 26 × 26 × 26 × 10 × 10 × 10 × 10 = 4.5 billion combinations — about 0.15 seconds on a single RTX 4090. Custom charsets (-1, -2, -3, -4) let you define restricted alphabets when needed.",
   397→    questionType: "command",
   398→    options: [
   399→      "?u?l?l?l?d?d?d?d",
   400→      "?a?a?a?a?a?a?a?a",
   401→      "?d?d?d?d?u?l?l?l",
   402→      "?l?l?l?l?d?d?d?d",
   403→    ],
   404→    expectedOption: "?u?l?l?l?d?d?d?d",
   405→    hint1: "?u = uppercase, ?l = lowercase, ?d = digit. Match the pattern ULLLDDDD.",
   406→    hint2: "Pattern is one uppercase, three lowercase, four digits.",
   407→    hint3: "Answer: ?u?l?l?l?d?d?d?d",
   408→    explanation:
   409→      "The mask ?u?l?l?l?d?d?d?d precisely matches an 8-character password structured as ULLLDDDD (one uppercase, three lowercase, four digits). Each ? character consumes exactly one position and applies the specified character class. The total keyspace is 26 × 26 × 26 × 26 × 10 × 10 × 10 × 10 ≈ 4.5 billion — exhausted in under a second on modern hardware. This demonstrates why predictable password structures (even when they meet complexity requirements) provide essentially no protection: a structural pattern reduces the search space by orders of magnitude versus true random passwords.",
   410→    recommendedCommands: [
   411→      "hashcat -m 100 -a 3 hash.txt ?u?l?l?l?d?d?d?d",
   412→      "hashcat -m 100 -a 3 hash.txt -1 ?u?l?d ?1?1?1?1?1?1?1?1  # custom charset",
   413→    ],
   414→    bestPractices: [
   415→      "Construct masks based on observed password policy, not blind guessing.",
   416→      "Use --increment to grow the mask length automatically when the exact length is unknown.",
   417→      "Save successful masks to a .hcmask file for repeatable runs across engagements.",
   418→    ],
   419→    defenseRecommendations: [
   420→      "Avoid rigid length requirements (exactly 8 chars) — they enable targeted mask attacks.",
   421→      "Favor long passphrases (16+ chars) over complex short passwords.",
   422→      "Measure actual password entropy (not just policy compliance) using tools like zxcvbn.",
   423→    ],
   424→    xp: 200,
   425→  },
   426→
   427→  // ============= MODULE 3 — SHA2-256 =============
   428→  {
   429→    id: 11,
   430→    module: "SHA2-256",
   431→    title: "SHA2-256 Hash Cracking",
   432→    difficulty: "Intermediate",
   433→    scenario:
   434→      "A modern web application has migrated from MD5 to SHA2-256 for password storage — but without a salt or a slow KDF. You have obtained one hash from a recent breach and need to demonstrate that 'modern algorithm alone' is insufficient protection.",
   435→    objective: "Recover the plaintext password from the provided SHA2-256 hash.",
   436→    educationalContext:
   437→      "SHA2-256 (often called SHA-256) is part of the SHA-2 family published by NIST in 2001. It produces a 256-bit digest (64 hex characters). While SHA2-256 is cryptographically unbroken, it is designed for speed — making it a poor choice for password storage when used directly. A modern GPU achieves 10+ billion SHA2-256 guesses per second. For password storage, the algorithm must be paired with a slow KDF (PBKDF2, bcrypt, scrypt, Argon2id) and a unique salt. The hash below is the SHA2-256 of 'password' — the most common password in the world.",
   438→    hash: "5e884898da28047151d0e56f8dc6292773603d0d6aabbdd62a11ef721d1542d8",
   439→    hashType: "SHA2-256",
   440→    hashcatMode: 1400,
